Node,Tactic_Name,MITRE_Tactic,Paper_Count,Coverage_Pct,Primary_CPs
T1,Reconnaissance,TA0043,29,29.0,CP-06 | CP-07
T10,Lateral Movement,TA0008,43,43.0,CP-01 | CP-04
T11,Collection,TA0009,1,1.0,CP-09
T12,Command & Control (C2),TA0011,47,47.0,CP-08
T13,Exfiltration,TA0010,40,40.0,CP-01 | CP-09
T14,Impact,TA0040,12,12.0,CP-07
T2,Resource Development,TA0042,3,3.0,CP-02 | CP-04
T3,Initial Access,TA0001,50,50.0,CP-03 | CP-07
T4,Execution,TA0002,41,41.0,CP-02 | CP-03
T5,Persistence,TA0003,9,9.0,CP-02 | CP-04
T6,Privilege Escalation,TA0004,3,3.0,CP-07
T7,Defense Evasion,TA0005,34,34.0,CP-03 | CP-07
T8,Credential Access,TA0006,3,3.0,CP-02 | CP-07
T9,Discovery,TA0007,1,1.0,CP-04 | CP-07
